schema_ver,program,domain,notes,allow_subdomains,allow_api,allow_mobile,rate_limit_rps,headers_file,auth_file
1,"Porsche Bug Bounty","api-frontend.pab.porsche.com","API endpoint",1,1,0,5,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","api.emea.gravity.porsche.com","API endpoint",1,1,0,5,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","api.pab.porsche.com","API endpoint",1,1,0,5,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","api.ppa.porsche.com","API endpoint",1,1,0,5,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","auth.pab.porsche.com","Authentication system",0,1,0,2,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","b2b.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","benefit.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","capitalmarketsday.porsche.com","API endpoint",1,1,0,5,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","christmas-silence.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","cm.staging.pcom.weu.porsche.com","Development/Staging environment",1,1,0,15,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","configurator.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","connect-store.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","dealer.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","drive.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","ecc.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","es.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","experience.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","finder.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","friends.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","identity.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","investorrelations.porsche.de","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","jobs.porsche-design.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","jobs.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","microsite.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
1,"Porsche Bug Bounty","my.porsche.com","Main domain",1,1,0,10,"configs/h_headers.txt","configs/h_auth.txt"
